Trait tested,ID,Tau,Study Title,Citation,CENT_LAT,CENT_LONG,ABUNDANCE_TYPE,BIOMASS_TYPE
Amniotes: Adult body mass,516,-0.03248786778864122,A large-scale fragmentation experiment for Neotropical bats,"Rocha, R., López-Baucells, A., Farneda, F.Z., Groenenberg, M., Bobrowiec, P.E.D., Cabeza, M., Palmeirim, J.M. & Meyer, C.F.J. (2017) Consequences of a large-scale fragmentation experiment for Neotropical bats: disentangling the relative importance of local and landscape-scale effects. Landscape Ecology, 32, 31-45.",-2.386381,-59.918769,Count,NA
Amniotes: Adult body mass,516,-0.03248786778864122,A large-scale fragmentation experiment for Neotropical bats,"Sampaio, E.M., Kalko, E.K., Bernard, E., Rodríguez-Herrera, B. & Handley, C.O. (2003) A biodiversity assessment of bats (Chiroptera) in a tropical lowland rainforest of Central Amazonia, including methodological and conservation considerations. Studies on Neotropical fauna and environment, 38, 17-31.",-2.386381,-59.918769,Count,NA
Amniotes: Adult body mass,516,-0.03248786778864122,A large-scale fragmentation experiment for Neotropical bats,"Farneda, F.Z., Rocha, R., López-Baucells, A., Sampaio, E.M., Palmeirim, J.M., Bobrowiec, P.E., Grelle, C.E. & Meyer, C.F. (2018) Functional recovery of Amazonian bat assemblages following secondary forest succession. Biological Conservation, 218, 192-199.",-2.386381,-59.918769,Count,NA
Amniotes: Adult body mass,516,-0.03248786778864122,A large-scale fragmentation experiment for Neotropical bats,"Rocha, R., Ovaskainen, O., López-Baucells, A., Farneda, F.Z., Sampaio, E.M., Bobrowiec, P.E.D., Cabeza, M., Palmeirim, J.M. & Meyer, C.F.J. (2018) Secondary forest regeneration benefits old-growth specialist bats in a fragmented tropical landscape. Scientific Reports, 8, 3819.",-2.386381,-59.918769,Count,NA
Amniotes: Adult body mass,374,-0.03151244700563319,Monitoring site 1000 Shorebird Survey,"Monitoring Site 1000 Project, Biodiversity Center, Ministry of Environment of Japan (2013) “Monitoring site 1000 Shorebird Survey” (ShorebirdsDatapackage2012.zip, downloaded from http://www.biodic.go.jp/moni1000/ findings/data/index.html). Accessed 2016.",35.961249,136.046062,Count,NA
Amniotes: Adult body mass,312,-0.0303030303030303,Stability in a Multi-Species Assemblage of Large Herbivores in East Africa,"Prins, H. H. T. & Douglas-Hamilton, I. (1990) Stability in a Multi-Species Assemblage of Large Herbivores in East Africa. Oecologia, 83, 392–400.",3.5,35.75,Count,NA
Amniotes: Adult body mass,339,0,Species trends turnover and composition of a woodland bird community in southern Sweden during a period of 57 years.,"Svensson, S., Thorner, A. M. & Nyholm, N. E. I. (2010) Species trends, turnover and composition of a woodland bird community in southern Sweden during a period of 57 years. Ornis Svecica 20, 31–44.",55.71667,13.33333,Count,NA
Amniotes: Adult body mass,366,0,Small Mammal Exclosure Study (SMES),"Lightfoot, D. “Small Mammal Exclosure Study (SMES)”. Sevilleta Long Term Ecological Research Program. Available at: http://sev.lternet.edu/content/small-mammal-exclosure-study-smes-0, accessed 2016.",34.35,-106.88,Count,NA
Amniotes: Adult body mass,420,0,Species composition and population fluctuations of alpine bird communities during 38 years in the Scandinavian mountain range,"Svensson, S. (2006) Species composition and population fluctuations of alpine bird communities during 38 years in the Scandinavian mountain range. Ornis Svecica, 16(4), 183–210.",67.077,17.435,Count,NA
Amniotes: Adult body mass,41,0.00284900284900284,Time and space and the variation of species,"Preston, F. W. (1960) Time and Space and the Variation of Species. Ecology, 41, 611–627.",39.5,-82.48,Count,NA
Amniotes: Adult body mass,275,0.01098901098901099,Response of an urban remnant reptile community to summer wildfire,"Davis, R. A. & Doherty, T. S. (2015) Rapid Recovery of an Urban Remnant Reptile Community following Summer Wildfire. PLoS ONE 10(5), e0127925. doi: 10.1371/journal.pone.0127925.",-31.967534,115.83329,Count,Size
Amniotes: Adult body mass,381,0.01526762041381148,Long-term sampling of a herpetofaunal assemblage on an isolated urban bushland,"How, R.A. (1998) Long-term sampling of a herpetofaunal assemblage on an isolated urban bushland remnant, Bold Park, Perth. Journal of the Royal Society of Western Australia, 81, 143-148.",-31.9333,115.7666,Count,NA
Amniotes: Adult body mass,47,0.01818181818181818,Detection of Density-Dependent Effects in Annual Duck Censuses,"Vickery, W. L. & Nudds, T. D. (1984) Detection of Density-Dependent Effects in Annual Duck Censuses. Ecology, 65, 96.",50.845447,-107.446257,Count,NA
Amniotes: Adult body mass,441,0.0503311699760467,Long-term dynamics of bird populations in birch forests of Ilmen Nature Reserve during the breeding period individuals / km2,"Zakharov, V. D. (1998) Biodiversity of bird population of terrestrial habitats in Southern Ural. Miass: IGZ, Ural Branch of Russian Academy of Sciences,158 p.",54.504083,60.293995,Count,NA
Amniotes: Adult body mass,67,0.06666666666666668,Animal Demography Unit - Coordinated Waterbird Counts (CWAC) (AfrOBIS),"""Animal Demography Unit - Coordinated Waterbird Counts (CWAC) - AfrOBIS"". Available at http://www.iobis.org/, accessed 2012.",-28.954467,24.950961,Count,NA
Amniotes: Adult body mass,166,0.07351190476190475,PIROP Northwest Atlantic 1965-1992 (SEAMAP),"""PIROP Northwest Atlantic 1965-1992 - OBIS SEAMAP"". Available at: http://www.iobis.org/mapper/?dataset=2245, accessed 2012.",36.075242,-70.991806,Count,NA
Amniotes: Adult body mass,166,0.07351190476190475,PIROP Northwest Atlantic 1965-1992 (SEAMAP),"Brown, R.G., Nettleship, D.N., Germain, P., Tull, C.E. & Davis, T. (1975) Atlas of eastern Canadian seabirds.",36.075242,-70.991806,Count,NA
Amniotes: Adult body mass,166,0.07351190476190475,PIROP Northwest Atlantic 1965-1992 (SEAMAP),"Diamond, A., Gaston, A. & Brown, R. (1986) Converting PIROP Counts of Seabirds at Sea to Absolute Densities. Progress Notes No 164. Canadian Wildlife Service, Ottawa,",36.075242,-70.991806,Count,NA
Amniotes: Adult body mass,166,0.07351190476190475,PIROP Northwest Atlantic 1965-1992 (SEAMAP),"Halpin, P.N., Read, A.J., Fujioka, E., Best, B.D., Donnelly, B., Hazen, L.J., Kot, C., Urian, K., LaBrecque, E. & Dimatteo, A. (2009) OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography, 22, 104-115.",36.075242,-70.991806,Count,NA
Amniotes: Adult body mass,166,0.07351190476190475,PIROP Northwest Atlantic 1965-1992 (SEAMAP),"Huettmann, F. (1998) An ecological GIS research application for the northern Atlantic-The PIROP database software, environmental data sets and the role of the internet. In: Riekert W.-F. and Tochtermann K. (Eds.) Hypermedia im Umweltschutz Proceedings of Deutsche Gesellschaft für Informatik (GI) and Forschungsinstitut für anwendungsorientierte Wissensverarbeitung (FAW) Ulm. Umwelt-Informatik aktuell; Bd.17, Metropolis Verlag/Marburg. pp. 213-217",36.075242,-70.991806,Count,NA
Amniotes: Adult body mass,166,0.07351190476190475,PIROP Northwest Atlantic 1965-1992 (SEAMAP),"Read, A., Halpin, P., Crowder, L., Best, B. & Fujioka, E. (2010) OBIS-SEAMAP: mapping marine mammals, birds and turtles. World Wide Web electronic publication. http://seamap. env. duke. Edu",36.075242,-70.991806,Count,NA
Amniotes: Adult body mass,373,0.08381618381618382,Village survey Medium and large mammal survey data,"Monitoring Site 1000 Project, Biodiversity Center, Ministry of Environment of Japan (2014) “Monitoring site 1000 Village survey - Medium and large mammal survey data (2006-2012)” (SAT03zip, downloaded from http://www.biodic.go.jp/moni1000/findings/data/index.html). Accessed 2016.",37.071487,137.151876,Count,NA
Amniotes: Adult body mass,416,0.09523809523809525,Bird populations in east central Illinois. Fluctuations variations and development over a half-century,"Kendeigh, S. C. (1982) Bird populations in east central Illinois: Fluctuations, variations, and development over a half-century. University of Illinois Press.",40.13333,-88.3,Density,NA
Amniotes: Adult body mass,56,0.10294117647058824,Small Mammal Mark-Recapture Population Dynamics at Core Research Sites,"Friggens, M. (2008) ""Sevilleta LTER Small Mammal Population Data"", Albuquerque, NM: Sevilleta Long Term Ecological Research Site Database: SEV008. Available at: http://sev.lternet.edu/data/sev-8, accessed 2012.",34.2,-106.43,Count,Weight
Amniotes: Adult body mass,439,0.10294117647058824,Long-term dynamics of bird populations in pine forests of Ilmen Nature Reserve during the breeding period individuals / km2,"Zakharov, V. D. (1998) Biodiversity of bird population of terrestrial habitats in Southern Ural. Miass: IGZ, Ural Branch of Russian Academy of Sciences,158 p.",54.504083,60.293995,Density,NA
Amniotes: Adult body mass,39,0.12380952380952384,Bird community dynamics in a temperate deciduous forest Long-term trends at Hubbard Brook,"Holmes, R. T. & Sherry, T. W. (2001) Thirty-year bird population trends in an unfragmented temperate deciduous forest: the importance of habitat change. The Auk, 118, 589–610.",43.91,-71.75,Density,NA
Amniotes: Adult body mass,39,0.12380952380952384,Bird community dynamics in a temperate deciduous forest Long-term trends at Hubbard Brook,"Holmes, R. T. & Sturges, F. W. (1975) Bird community dynamics and energetics in a northern hardwoods ecosystem. Journal of Animal Ecology, 44, 175–200.",43.91,-71.75,Density,NA
Amniotes: Adult body mass,39,0.12380952380952384,Bird community dynamics in a temperate deciduous forest Long-term trends at Hubbard Brook,"Holmes, R. T. & Sherry, T. W. (1988) Assessing population trends of New Hampshire forest birds: Local versus regional patterns. The Auk, 105, 756–768.",43.91,-71.75,Density,NA
Amniotes: Adult body mass,39,0.12380952380952384,Bird community dynamics in a temperate deciduous forest Long-term trends at Hubbard Brook,"Holmes, R. T., Sherry, T. W. & Sturges, F. W. (1986) Bird Community Dynamics in a Temperate Deciduous Forest: Long-Term Trends at Hubbard Brook. Ecological Monographs, 56, 201–220.",43.91,-71.75,Density,NA
Amniotes: Adult body mass,372,0.12923894258629504,Monitoring site 1000 Village survey - Bird survey data,"Monitoring Site 1000 Project, Biodiversity Center, Ministry of Environment of Japan (2014) “Monitoring site 1000 Village survey - Bird survey data (2005-2012)” (SAT02.zip, downloaded from http://www.biodic.go.jp/moni1000/findings/data/index.html). Accessed 2016.",34.952002,134.975315,Count,NA
Amniotes: Adult body mass,361,0.14285714285714285,A long-term bird population study in an Appalachian spruce forest,"Hall, G. A. (1984) A Long-Term Bird Population Study in an Appalachian Spruce Forest. The Wilson Bulletin, 96, 228–240.",38.61,-79.83472,Count,NA
Amniotes: Adult body mass,360,0.15404622206273028,Bialowieza National Park bird assemblage,"Tomiałojć, L. & Wesołowski, T. (1994) Die Stabilität der Vogelgemeinschaft in einem Urwald der gemässigten Zone: Ergebnisse einer 15jährigen Studie aus dem Nationalpark von Białowieża (Polen). Beob, 91, 73-110.",52.716667,24.26666,NA,Weight
Amniotes: Adult body mass,360,0.15404622206273028,Bialowieza National Park bird assemblage,"Tomiałojć, L. & Wesołowski, T. (1996) Structure of a primaeval forest bird community during 1970s and 1990s (Białowieża National Park, Poland). Acta Ornithologica, 31, 133-154.",52.716667,24.26666,NA,Weight
Amniotes: Adult body mass,360,0.15404622206273028,Bialowieza National Park bird assemblage,"Tomiałojć, L., Wesołowski, T. & Walankiewicz, W. (1984) Breeding bird community of a primaeval temperate forest (Białowieża National Park, Poland). Acta ornithologica,",52.716667,24.26666,NA,Weight
Amniotes: Adult body mass,360,0.15404622206273028,Bialowieza National Park bird assemblage,"Wesołowski, T., Mitrus, C., Czeszczewik, D. & Rowiński, P. (2010) Breeding bird dynamics in a primeval temperate forest over thirty-five years: variation and stability in the changing world. Acta Ornithologica, 45, 209-232.",52.716667,24.26666,NA,Weight
Amniotes: Adult body mass,360,0.15404622206273028,Bialowieza National Park bird assemblage,"Wesołowski, T., Tomiałojć, L., Mitrus, C., Rowinski, P. & Czeszczewik, D. (2002) The breeding bird community of a primaeval temperate forest (Bialowieza National Park, Poland) at the end of the 20th century. Acta ornithologica, 37, 27-45.",52.716667,24.26666,NA,Weight
Amniotes: Adult body mass,360,0.15404622206273028,Bialowieza National Park bird assemblage,"Wesołowski, T., Rowiński, P., Mitrus, C. & Czeszczewik, D. (2006) Breeding bird community of a primeval temperate forest (Białowieża National Park, Poland) at the beginning of the 21st century. Acta Ornithologica, 41, 55-70.",52.716667,24.26666,NA,Weight
Amniotes: Adult body mass,360,0.15404622206273028,Bialowieza National Park bird assemblage,"Wesołowski, T., Czeszczewik, D., Hebda, G., Maziarz, M., Mitrus, C. & Rowiński, P. (2015) 40 years of breeding bird community dynamics in a primeval temperate forest (Białowieża National Park, Poland). Acta Ornithologica, 50, 95-120.",52.716667,24.26666,NA,Weight
Amniotes: Adult body mass,58,0.1794871794871795,Avian populations long-term monitoring dataset. San Juan. Puerto Rico Luquillo Long Term Ecological Research Site Database Grid points bird counts DBAS 23,"Waide, R. B. (2010) “Bird abundance - point counts”. Long Term Ecological Research Network. Available at: http://dx.doi.org/10.6073/pasta/0d96957379936a038ebbbcc6135b2fab, accessed 2012.",18.19,-65.43,Count,NA
Amniotes: Adult body mass,58,0.1794871794871795,Avian populations long-term monitoring dataset. San Juan. Puerto Rico Luquillo Long Term Ecological Research Site Database Grid points bird counts DBAS 23,"Waide, R. B. ""Bird abundance - point counts, El Verde Field Station, Puerto Rico: Luquillo Long Term Ecological Research Site Database: Data Set 23"". Available at: http:/luq.lternet.edu/data/luqmetadata23, accessed 2012.",18.19,-65.43,Count,NA
Amniotes: Adult body mass,414,0.18095238095238095,Bird populations in east central Illinois. Fluctuations variations and development over a half-century,"Kendeigh, S. C. (1982) Bird populations in east central Illinois: Fluctuations, variations, and development over a half-century. University of Illinois Press.",39.98333,-88.65,Density,NA
Amniotes: Adult body mass,442,0.19079360274557003,Composition and abundance of bird species in the village Matabay in June 1980-1985 (absolute indicators (area 025 km2)),"Berezovikov, N.N. (2004) The birds of settlements in Markakol Depression (Southern Altai). Russian Ornithological Journal, 249, 3-15.",48.66874,85.65439,Count,NA
Amniotes: Adult body mass,363,0.2087912087912088,The 37-year dynamics of a subalpine bird community with special emphasis on the influence of environmental temperature and Epirrita autumnata cycles.,"Enemar, A., Sjöstrand, B. E., Andersson, G. Ö. & von Proschwitz, T. (2004) The 37-year dynamics of a subalpine passerine bird community, with special emphasis on the influence of environmental temperature and Epirrita autumnata cycles. Ornis Svecica, 14, 63–106.",65.968055,16.31666,Count,NA
Amniotes: Adult body mass,415,0.22666666666666663,Bird populations in east central Illinois. Fluctuations variations and development over a half-century,"Kendeigh, S. C. (1982) Bird populations in east central Illinois: Fluctuations, variations, and development over a half-century. University of Illinois Press.",40.13333,-88.3,Density,NA
Amniotes: Adult body mass,475,0.2285714285714286,Structure and dynamics of a passerine bird community in a spruce-dominated boreal forest,"Hogstad, O. (1993) Structure and dynamics of a passerine bird community in a spruce-dominated boreal forest. A 12-year study. Annales Zoologici Fennici, 30, 43-54.",63.41667,10.5,Count,NA
Amniotes: Adult body mass,311,0.3333333333333333,Seasonal summary of numbers of small mammals on 14 LTER traplines in prairie habitats at Konza Prairie,"Kaufman, D.W. Seasonal summary of numbers of small mammals on 14 LTER traplines in prairie habitats at Konza Prairie. Konza Prairie Long-Term Ecological Research. Available at: http://lter.konza.ksu.edu/content/csm01-seasonal-summary-numbers-small-mammals-14-lter-traplines-prairie-habitats-konza, accessed 2016.",39.083333,-96.583333,Count,NA
Amniotes: Adult body mass,327,0.3333333333333333,Fray Jorge Small Mammals 1989-2005,"Kelt, D. A., Meserve, P. L., Gutiérrez, J. R., Milstead, W. B. & Previtali, M. A. (2013) Long-term monitoring of mammals in the face of biotic and abiotic influences at a semiarid site in north-central Chile. Ecology, 94, 977. doi:10.1890/12-1811.1.",-30.6,-71.7,Count,Weight
Amniotes: Adult body mass,91,0.3999999999999999,Baltic seabirds transect surveys,"""Baltic Seabirds Transect Surveys"", Institute of Ecology of Vilnius University - OBIS-SEAMAP. Available at: http://www.emodnet-biology.eu/component/imis/?module=dataset&dasid=1971, accessed 2012.",57.038966,20.555517,Count,NA
Amniotes: Adult body mass,308,0.42857142857142855,Powdermill Nature Reserve monitored small mammal populations from 1979-1999.,"Merritt, J. (1999) Long Term Mammal Data from Powdermill Biological Station 1979-1999. Environmental Data Initiative. Available at: http://dx.doi.org/10.6073/pasta/83c888854e239a79597999895bb61cfe, accessed 2016.",40.170741,-79.260178,Count,Weight
Amniotes: Adult body mass,316,0.4666666666666667,Lizard pitfall trap data (LTER-II LTER-III),"Lightfoot, D. (2013) “Lizard pitfall trap data (LTER-II, LTER-III)”. Jornada Basin LTER. Available at: http://jornada.nmsu.edu/lter/dataset/49821/view, accessed 2016.",32.62,-106.74,Count,Weight
Amniotes: Adult body mass,413,0.5151515151515151,Bird populations in east central Illinois. Fluctuations variations and development over a half-century,"Kendeigh, S. C. (1982) Bird populations in east central Illinois: Fluctuations, variations, and development over a half-century. University of Illinois Press.",39.98333,-88.65,Density,NA
Marine:  Body Length,78,-0.2147798707442726,IOW Macrozoobenthos monitoring Baltic Sea (1980-2005) (EurOBIS),"Zettler, M.L. (2005) Macrozoobenthos baltic sea (1980-2005) as part of the IOW-Monitoring. Institut für Ostseeforschung Warnemünde, Germany. Available at: http://www.iobis.org/mapper/?dataset=2289, accessed 2012.",56.729642,18.236359,Count,NA
Marine:  Body Length,97,-0.19999999999999996,Archives of the Arctic Seas Zooplankton (ARC),"Markhaseva, E.L., Golikov, A.A., Agapova, T.A. & Beig, A.A. (1985) Archives of the Arctic Seas Zooplankton. Available at: http://www.iobis.org/mapper/?dataset=4470, accessed 2012.",72.739441,10.694448,Count,NA
Marine:  Body Length,183,-0.19999999999999996,DFO Maritimes Research Vessel Trawl Surveys Invertebrate Observations (OBIS Canada),"Tremblay, J.M. & Branton, B. (2007) DFO Maritimes Research Vessel Trawl Surveys, OBIS Canada Digital Collections. Bedford Institute of Oceanography, Dartmouth, Nova Scotia, Canada, OBIS Canada.",43.776648,-63.751421,Count,NA
Marine:  Body Length,431,-0.19999999999999996,The New Zealand Freshwater Fish Database - Traps- Gee Minnow traps,"NIWA “The New Zealand Freshwater Fish Database”. Available at: https://www.niwa.co.nz/our-services/online-services/freshwater-fish-database, accessed 2016.",-40.633637,172.449936,Count,NA
Marine:  Body Length,428,-0.19573711641263167,Long term monitoring of fish abundances from coastal SKagerrak,"Barceló, C., Ciannelli, L., Olsen, E.M., Johannessen, T. & Knutsen, H. (2016) Eight decades of sampling reveal a contemporary novel fish assemblage in coastal nursery habitats. Global change biology, 22, 1155-1167.",58.95856,9.768152,Count,NA
Marine:  Body Length,428,-0.19573711641263167,Long term monitoring of fish abundances from coastal SKagerrak,"Olsen, E. M., Carlson, S. M., Gjøsæter, J. & Stenseth, N. C. (2009) Nine decades of decreasing phenotypic variability in Atlantic cod. Ecology Letters, 12, 622–631. doi:10.1111/j.1461-0248.2009.01311.x",58.95856,9.768152,Count,NA
Marine:  Body Length,428,-0.19573711641263167,Long term monitoring of fish abundances from coastal SKagerrak,"Rogers, L. A., Stige, L. C., Olsen, E. M., Knutsen, H., Chan, K.-S. & Stenseth, N. C. (2011) Climate and population density drive changes in cod body size throughout a century on the Norwegian coast. Proceedings of the National Academy of Sciences, 108(5), 1961–1966.",58.95856,9.768152,Count,NA
Marine:  Body Length,428,-0.19573711641263167,Long term monitoring of fish abundances from coastal SKagerrak,"Stenseth, N. C., Bjørnstadf, O. N., Falck, W, Fromentin, J. M., Gjøsieter, J. & Gray, J. S. (1999) Dynamics of coastal cod populations: intra-and intercohort density dependence and stochastic processes. Proceedings of the Royal Society of London B: Biological Sciences, 266(1429), 1645–1654.",58.95856,9.768152,Count,NA
Marine:  Body Length,190,-0.1826537765006029,St. Croix. USVI Fish Assessment and Monitoring Data (2002 - Present) (NOAA-CCMA),"""St. Croix, USVI Fish Assessment and Monitoring Data (2002 - Present)"", (2007) Silver Spring, MD Publisher: NOAAs Ocean Service, National Centers for Coastal Ocean Science (NCCOS). National Oceanic and Atmospheric Association (NOAA)-National Ocean Service (NOS)-National Centers for Coastal Ocean Science (NCCOS)-Center for Coastal Monitoring and Assessment (CCMA)-Biogeography Team. Available at: http://www.iobis.org/mapper/?dataset=1673, accessed 2012.",17.756969,-64.604258,Count,NA
Marine:  Body Length,123,-0.159309469063324,Maine Department of Marine Resources Inshore Trawl Survey 2000?2009 (OBIS-USA),"Sherman, S. (2010) ""Maine Department of Marine Resources Inshore Trawl Survey, 2000 – 2009"". Maine Department of Marine Resources, Maine. Available at: http://www.usgs.gov/obis-usa/data_search_and_access/datasets.html, accessed 2012.",43.891199,-68.940737,Count,Weight
Marine:  Body Length,119,-0.123804899719596,DFO Maritimes Research Vessel Trawl Surveys Fish Observations (OBIS Canada),"Clark, D. & Branton, B. (2007) DFO Maritimes Research Vessel Trawl Surveys, OBIS Canada Digital Collections. Bedford Institute of Oceanography, Dartmouth, Nova Scotia, Canada, OBIS Canada,",43.987425,-63.669701,Count,Weight
Marine:  Body Length,467,-0.10636620648653616,Spatial and temporal organisation of a coastal lagoon fish community,"Pombo, L. & Rebelo, J. E. (2002) Spatial and temporal organization of a coastal lagoon fish community-Ria de Aveiro, Portugal. Cybium, 26(3), 185–196.",40.675834,-8.684562,Count,Weight
Marine:  Body Length,467,-0.10636620648653616,Spatial and temporal organisation of a coastal lagoon fish community,"Pombo, L., Elliott, M. I. & Rebelo, J. E. (2005) Environmental influences on fish assemblage distribution of an estuarine coastal lagoon, Ria de Aveiro (Portugal). Scientia Marina, 69(1), 143–159.",40.675834,-8.684562,Count,Weight
Marine:  Body Length,467,-0.10636620648653616,Spatial and temporal organisation of a coastal lagoon fish community,"Pombo, L., Rebelo, J. E. & Elliott, M. (2007) The structure, diversity and somatic production of the fish community in an estuarine coastal lagoon, Ria de Aveiro (Portugal). Hydrobiologia, 587(1), 253–268.",40.675834,-8.684562,Count,Weight
Marine:  Body Length,467,-0.10636620648653616,Spatial and temporal organisation of a coastal lagoon fish community,"Rebelo, J. E. (1992) The ichthyofauna and abiotic hydrological environment of the Ria de Aveiro, Portugal. Estuaries, 15(3), 403–413.",40.675834,-8.684562,Count,Weight
Marine:  Body Length,252,-0.09977324263038548,MARMAP Blackfish Trap Survey 1990-2009,"Reichert, M. (2010) “MARMAP Blackfish Trap Survey 1990-2009”. SCDNR/NOAA MARMAP Program. SCDNR MARMAP Aggregate Data Surveys. The Marine Resources Monitoring. Assessment. and Prediction (MARMAP) Program. Marine Resources Research Institute. South Carolina Department of Natural Resources USA. Available at: http://www.usgs.gov/obis-usa/. accessed 2013.",32.453878,-78.968171,Count,Weight
Marine:  Body Length,295,-0.0888605501674071,Systematic global assessment of reef fish communities by the Reef Life Survey program,"Edgar, G. J. & Stuart-Smith, R. D. (2014) Systematic global assessment of reef fish communities by the Reef Life Survey program. Nature Scientific Data 1, 140007. doi:10.1038/sdata.2014.7.",-33.051303,139.183766,Count,Weight
Marine:  Body Length,212,-0.0870243459821244,MARMAP Yankee Trawl 1990-2009,"Reichert, M. (2010) “MARMAP Yankee Trawl 1990-2009”. SCDNR/NOAA MARMAP Program, SCDNR MARMAP Aggregate data surveys, The Marine Resources Monitoring, Assessment, and Prediction (MARMAP) Program, Marine Resources Research Institute, South Carolina Department of Natural Resources USA. Available at: http://www.usgs.gov/obis-usa, accessed 2013.",31.940762,-78.825083,Count,Weight
Marine:  Body Length,330,-0.08455687458226854,Over 75 years of zooplankton data from Australia,"Davies, C. H., Armstrong, A. J., Baird, M., Coman, F., Edgar, S., Gaughan, D., Greenwood, J., Gusmão, F., Henschke, N., Koslow, J. A., Leterme, S. C., McKinnon, A. D., Miller, M., Pausina, S., Palomino, J. U., Roennfeldt, R.-L., Rothlisberg, P., Slotwinski, A., Strzelecki, J., Suthers, I. M., Swadling, K. M., Talbot, S., Tonks, M., Tranter, D. H., Young, J. W. & Richardson, A. J. (2014) Over 75 years of zooplankton data from Australia. Ecology, 95, 3229. http://dx.doi.org/10.1890/14-0697.1.",-23.830553,136.449216,Density,NA
Marine:  Body Length,466,-0.07827062627095448,Trawl Survey Data from Rockall Scotland (1986 - 2008),"Neat, F. & Campbell, N. (2011) Demersal fish diversity of the isolated Rockall plateau compared with the adjacent west coast shelf of Scotland. Biological Journal of the Linnean Society, 104, 138–147. doi:10.1111/j.1095-8312.2011.01699.x.",56.990544,-9.07255,Count,NA
Marine:  Body Length,127,-0.07555239954900542,MARMAP Florida Antillean Trap Survey 1990-2009 (OBIS-USA),"Reichert, M. (2009) ""MARMAP Florida Antillean Trap Survey 1990-2009”. SCDNR/NOAA MARMAP Program, SCDNR MARMAP Aggregate Data Surveys, The Marine Resources Monitoring, Assessment, and Prediction (MARMAP) Program, Marine Resources Research Institute, South Carolina Department of Natural Resources U.S.A.. Available at: http://www.usgs.gov/obis-usa/data_search_and_access/participants.html, accessed 2012.",32.334695,-78.992262,Count,Weight
